Time,Beta_0_mean,Beta_0_min,Beta_0_max,Beta_1_mean,Beta_1_min,Beta_1_max,Beta_0_true,Beta_1_true,Channel
0.0,-0.06979512005372447,-0.12181907778328467,-0.017771162324164272,-0.06979512005372447,-0.12181907778328467,-0.017771162324164272,-4.766266647884043e-10,-4.766266647884043e-10,Channel 2
34.48275862068966,-0.05982315161331396,-0.11765344660664552,-0.0019928566199824,-0.05982315161331396,-0.11765344660664552,-0.0019928566199824,-4.527045151451867e-09,-4.527045151451867e-09,Channel 2
68.96551724137932,-0.036338599141614435,-0.09578134515142525,0.02310414686819639,-0.036338599141614435,-0.09578134515142525,0.02310414686819639,-3.7958692034775464e-08,-3.7958692034775464e-08,Channel 2
103.44827586206898,-0.007352863417687726,-0.06809169375797963,0.05338596692260419,-0.007352863417687726,-0.06809169375797963,0.05338596692260419,-2.807791955702565e-07,-2.807791955702565e-07,Channel 2
137.93103448275863,0.010939425862382756,-0.053284812663734145,0.07516366438849965,0.010939425862382756,-0.053284812663734145,0.07516366438849965,-1.8306834265972274e-06,-1.8306834265972274e-06,Channel 2
172.41379310344828,0.00664437520227834,-0.05902846328301033,0.07231721368756701,0.00664437520227834,-0.05902846328301033,0.07231721368756701,-1.0510326494157376e-05,-1.0510326494157376e-05,Channel 2
206.89655172413796,-0.0156588817568843,-0.07912155209118103,0.04780378857741242,-0.0156588817568843,-0.07912155209118103,0.04780378857741242,-5.306792370264756e-05,-5.306792370264756e-05,Channel 2
241.37931034482762,-0.03971985331109975,-0.10194553199164091,0.022505825369441415,-0.03971985331109975,-0.10194553199164091,0.022505825369441415,-0.00023527867616166364,-0.00023527867616166364,Channel 2
275.86206896551727,-0.050037173565490145,-0.1142848801450348,0.014210533014054505,-0.050037173565490145,-0.1142848801450348,0.014210533014054505,-0.00091411497631737,-0.00091411497631737,Channel 2
310.3448275862069,-0.04301235820971789,-0.10897889692445326,0.022954180505017484,-0.04301235820971789,-0.10897889692445326,0.022954180505017484,-0.0031042160083425397,-0.0031042160083425397,Channel 2
344.82758620689657,-0.030534788842961017,-0.09621233907872662,0.03514276139280459,-0.030534788842961017,-0.09621233907872662,0.03514276139280459,-0.009181309513811006,-0.009181309513811006,Channel 2
379.3103448275862,-0.03251918977994386,-0.0982115813622287,0.03317320180234097,-0.03251918977994386,-0.0982115813622287,0.03317320180234097,-0.02353494609838132,-0.02353494609838132,Channel 2
413.79310344827593,-0.062124465249104775,-0.12876082314421752,0.004511892646007966,-0.062124465249104775,-0.12876082314421752,0.004511892646007966,-0.051906215356229364,-0.051906215356229364,Channel 2
448.2758620689656,-0.11278780080444116,-0.17933572289864863,-0.046239878710233676,-0.11278780080444116,-0.17933572289864863,-0.046239878710233676,-0.09737654490249159,-0.09737654490249159,Channel 2
482.75862068965523,-0.15606922969011963,-0.2220574283982174,-0.09008103098202185,-0.15606922969011963,-0.2220574283982174,-0.09008103098202185,-0.15234280242675816,-0.15234280242675816,Channel 2
517.2413793103449,-0.15358888674891016,-0.2209152829653525,-0.08626249053246783,-0.15358888674891016,-0.2209152829653525,-0.08626249053246783,-0.1910265472079217,-0.1910265472079217,Channel 2
551.7241379310345,-0.07802942403012893,-0.14725602591449458,-0.008802822145763278,-0.07802942403012893,-0.14725602591449458,-0.008802822145763278,-0.17314196903575668,-0.17314196903575668,Channel 2
586.2068965517242,0.06797422234316346,-0.0007453799513676557,0.13669382463769458,0.06797422234316346,-0.0007453799513676557,0.13669382463769458,-0.06693086558757466,-0.06693086558757466,Channel 2
620.6896551724138,0.24637492092723412,0.17921952036614197,0.31353032148832627,0.5126097340467133,0.2868626574423304,0.7383568106510962,0.11746866899643074,0.3524060069892922,Channel 2
655.1724137931035,0.3965613328577747,0.328627531153469,0.46449513456208036,1.0530447939369363,0.8580338828494921,1.2480557050243806,0.3133929139673286,0.9401787419019859,Channel 2
689.6551724137931,0.46160375984738716,0.3920789480947363,0.531128571600038,1.3881615469596518,1.221944176205247,1.5543789177140566,0.4267322089371954,1.2801966268115863,Channel 2
724.1379310344828,0.41522128310139683,0.34695052997102716,0.4834920362317665,1.3299578811493376,1.1074034522584892,1.5525123100401859,0.3966698843835781,1.190009653150734,Channel 2
758.6206896551724,0.2754835746456786,0.2098639076758842,0.34110324161547295,0.8628064667605378,0.47062492394851796,1.2549880095725578,0.23970375019986934,0.719111250599608,Channel 2
793.1034482758621,0.09742156721718628,0.03191830464400969,0.16292482979036288,0.09742156721718628,0.03191830464400969,0.16292482979036288,0.03744080941870589,0.11232242825611767,Channel 2
827.5862068965519,-0.05216550373478143,-0.11846400318040247,0.014132995710839605,-0.05216550373478143,-0.11846400318040247,0.014132995710839605,-0.12064583587759298,-0.12064583587759298,Channel 2
862.0689655172415,-0.12472186513521932,-0.18927369054162277,-0.06017003972881588,-0.12472186513521932,-0.18927369054162277,-0.06017003972881588,-0.1897035560096961,-0.1897035560096961,Channel 2
896.5517241379312,-0.11198220025871995,-0.17551069856774418,-0.04845370194969573,-0.11198220025871995,-0.17551069856774418,-0.04845370194969573,-0.1799353818223036,-0.1799353818223036,Channel 2
931.0344827586208,-0.04756005855337333,-0.11387989764355436,0.018759780536807706,-0.04756005855337333,-0.11387989764355436,0.018759780536807706,-0.13042035621203882,-0.13042035621203882,Channel 2
965.5172413793105,0.0230018703810541,-0.0440213046391046,0.0900250454012128,0.0230018703810541,-0.0440213046391046,0.0900250454012128,-0.07727301766903481,-0.07727301766903481,Channel 2
