Time,Zeta_mean,Zeta_min,Zeta_max,Zeta_true,Channel
0.0,0.21846250424902505,-0.521120744769711,0.9580457532677611,0.0,Channel 2
34.48275862068966,0.18348543275998788,-0.5087859460615789,0.8757568115815546,0.0,Channel 2
68.96551724137932,0.19059484404207402,-0.5187546047556973,0.8999442928398454,0.0,Channel 2
103.44827586206898,0.2363022319541639,-0.5287296210208305,1.0013340849291583,0.0,Channel 2
137.93103448275863,0.18578322056924243,-0.5113109481939059,0.8828773893323908,0.0,Channel 2
172.41379310344828,0.1564754616227422,-0.49017143897131465,0.803122362216799,0.0,Channel 2
206.89655172413796,0.18115370265756395,-0.5090062955174265,0.8713137008325543,0.0,Channel 2
241.37931034482762,0.21652726156808236,-0.5265329943057683,0.9595875174419329,0.0,Channel 2
275.86206896551727,0.2347373936087039,-0.5409793565220449,1.0104541437394527,0.0,Channel 2
310.3448275862069,0.250194794719514,-0.5380278990101278,1.0384174884491557,0.0,Channel 2
344.82758620689657,0.29322307823212107,-0.5169729553464912,1.1034191118107335,0.0,Channel 2
379.3103448275862,0.49814004739485745,-0.39883768760891897,1.3951177823986338,0.0,Channel 2
413.79310344827593,0.3518826725123577,-0.5082261469359195,1.211991491960635,0.0,Channel 2
448.2758620689656,0.3366487683159615,-0.519549185097135,1.192846721729058,0.0,Channel 2
482.75862068965523,0.4778046043533846,-0.42175291054835656,1.3773621192551257,0.0,Channel 2
517.2413793103449,0.7101864423902472,-0.1039162726404701,1.5242891574209645,0.0,Channel 2
551.7241379310345,0.6558915160217095,-0.17393849747408674,1.4857215295175057,0.0,Channel 2
586.2068965517242,0.5486829803680331,-0.33170760355600337,1.4290735642920696,0.0,Channel 2
620.6896551724138,0.8349679244263254,0.32226167255023364,1.3476741763024171,1.0,Channel 2
655.1724137931035,0.9621939147804501,0.7831291692226474,1.1412586603382529,1.0,Channel 2
689.6551724137931,0.997077542026714,0.9690190312438814,1.0251360528095466,1.0,Channel 2
724.1379310344828,0.9722381328438733,0.824453446975348,1.1200228187123986,1.0,Channel 2
758.6206896551724,0.8938956927844619,0.5398149459641968,1.247976439604727,1.0,Channel 2
793.1034482758621,0.258059205818942,-0.5011557812626197,1.0172741929005038,1.0,Channel 2
827.5862068965519,0.019935766151122324,-0.16871386599242164,0.2085853982946663,0.0,Channel 2
862.0689655172415,0.02349035646483664,-0.22699934757566223,0.2739800605053355,0.0,Channel 2
896.5517241379312,0.03250481467913458,-0.257557379034652,0.32256700839292113,0.0,Channel 2
931.0344827586208,0.04651783643267385,-0.3030314803141194,0.39606715317946706,0.0,Channel 2
965.5172413793105,0.052413892153994654,-0.2943273913760384,0.39915517568402775,0.0,Channel 2
1000.0,0.3075489604330167,-0.5107969450175451,1.1258948658835786,0.0,Channel 2
